Ano;Mês;Data;Distrito;Concelho;Freguesia;Nível de Tensão;Energia Ativa (kWh);CodDistrito;CodDistritoConcelho;CodDistritoConcelhoFreguesia
2021;03;2021-03;PORTO;Gondomar;UF FOZ DO SOUSA E COVELO;Muito Alta, Alta e Média Tensões;167187.607;13;1304;130414
2021;04;2021-04;COIMBRA;Coimbra;SAO JOAO DO CAMPO;Baixa Tensão;211838.618;06;0603;060320
2021;04;2021-04;EVORA;Arraiolos;UF GAFANHOEIRA E SABUGUEIRO;Baixa Tensão;115320.802;07;0702;070208
2021;04;2021-04;EVORA;Évora;CANAVIAIS;Baixa Tensão;529677.656;07;0705;070515
2021;04;2021-04;GUARDA;Guarda;GONCALO;Baixa Tensão;119373.113;09;0907;090757
2021;04;2021-04;PORTALEGRE;Sousel;SANTO AMARO;Baixa Tensão;79004.927;12;1215;121503
2021;05;2021-05;AVEIRO;Mealhada;CASAL COMBA;Baixa Tensão;468855.52;01;0111;011103
2021;05;2021-05;PORTO;Santo Tirso;UF SANTO TIRSO COUTO E BURGAES;Muito Alta, Alta e Média Tensões;7183429.478;13;1314;131437
2021;05;2021-05;SANTAREM;Santarém;UF ROMEIRA E VARZEA;Muito Alta, Alta e Média Tensões;5067923.422;14;1416;141632
2021;05;2021-05;VIANA DO CASTELO;Viana do Castelo;UF VIANA DO CASTELO E MEADELA;Baixa Tensão;4681298.001;16;1609;160948
2021;05;2021-05;VISEU;São Pedro do Sul;BORDONHOS;Baixa Tensão;98993.335;18;1816;181602
2021;06;2021-06;BRAGA;Vila Verde;LANHAS;Muito Alta, Alta e Média Tensões;32581.395;03;0313;031324
2021;06;2021-06;BRAGANCA;Bragança;COELHOSO;Baixa Tensão;54502.788;04;0402;040210
2021;06;2021-06;BRAGANCA;Carrazeda de Ansiães;UF BELVER E MOGO DE MALTA;Baixa Tensão;54072.717;04;0403;040321
2021;06;2021-06;BRAGANCA;Vinhais;VILAR SECO DE LOMBA;Baixa Tensão;22049.193;04;0412;041234
2021;06;2021-06;CASTELO BRANCO;Covilhã;ERADA;Baixa Tensão;84596.062;05;0503;050310
2021;06;2021-06;FARO;Vila do Bispo;SAGRES;Muito Alta, Alta e Média Tensões;307348.4;08;0815;081504
2021;06;2021-06;PORTO;Amarante;PADRONELO;Baixa Tensão;119080.544;13;1301;130126
2021;06;2021-06;PORTO;Felgueiras;FRIANDE;Baixa Tensão;223982.358;13;1303;130305
2021;06;2021-06;SANTAREM;Golegã;GOLEGA;Baixa Tensão;1110830.784;14;1412;141202
2021;06;2021-06;VILA REAL;Boticas;PINHO;Baixa Tensão;42634.444;17;1702;170213
2021;06;2021-06;VILA REAL;Ribeira de Pena;CANEDO;Baixa Tensão;29334.965;17;1709;170902
2021;06;2021-06;VISEU;Oliveira de Frades;UF DESTRIZ E REIGOSO;Baixa Tensão;82250.78;18;1810;181014
2021;06;2021-06;VISEU;Viseu;SANTOS EVOS;Muito Alta, Alta e Média Tensões;66956.827;18;1823;182325
2021;07;2021-07;AVEIRO;Anadia;AVELAS DE CIMA;Baixa Tensão;251999.118;01;0103;010305
2021;07;2021-07;BRAGA;Guimarães;UF CONDE E GANDARELA;Baixa Tensão;256470.817;03;0308;030882
2021;07;2021-07;BRAGANCA;Miranda do douro;MIRANDA DO DOURO;Muito Alta, Alta e Média Tensões;181510.81;04;0406;040608
2021;07;2021-07;COIMBRA;Arganil;PIODAO;Muito Alta, Alta e Média Tensões;44919.423;06;0601;060111
2021;07;2021-07;COIMBRA;Montemor-o-Velho;EREIRA;Baixa Tensão;69965.281;06;0610;061014
2021;07;2021-07;LISBOA;Amadora;ENCOSTA DO SOL;Baixa Tensão;3458581.217;11;1115;111514
2021;08;2021-08;AVEIRO;Santa Maria da Feira;ESCAPAES;Baixa Tensão;412270.849;01;0109;010904
2021;08;2021-08;BRAGANCA;Alfândega da Fé;UF EUCISIA GOUVEIA E VALVERDE;Baixa Tensão;51068.29;04;0401;040122
2021;08;2021-08;EVORA;Estremoz;UF AMEIXIAL;Baixa Tensão;206173.056;07;0704;070417
2021;08;2021-08;VIANA DO CASTELO;Melgaço;PENSO;Baixa Tensão;97485.393;16;1603;160313
2021;09;2021-09;AVEIRO;Anadia;UF ARCOS E MOGOFORES;Baixa Tensão;1306204.524;01;0103;010317
2021;09;2021-09;BRAGA;Braga;PEDRALVA;Baixa Tensão;138052.943;03;0303;030334
2021;09;2021-09;CASTELO BRANCO;Idanha-a-Nova;UF ZEBREIRA E SEGURA;Baixa Tensão;156211.487;05;0505;050521
2021;09;2021-09;LEIRIA;Pombal;UF GUIA ILHA E MATA MOURISCA;Muito Alta, Alta e Média Tensões;894062.641;10;1015;101518
2021;09;2021-09;LISBOA;Lourinhã;UF S BARTOLOMEU GALEGOS MOLEDO;Muito Alta, Alta e Média Tensões;176918.61;11;1108;110814
2021;09;2021-09;PORTO;Vila Nova de Gaia;UF GULPILHARES E VALADARES;Muito Alta, Alta e Média Tensões;2355463.166;13;1317;131726
2021;09;2021-09;SANTAREM;Ourém;ALBURITEL;Baixa Tensão;152931.03;14;1421;142101
2021;09;2021-09;SANTAREM;Rio Maior;UF S J RIBEIRA RIBEIRA S JOAO;Muito Alta, Alta e Média Tensões;1901603.454;14;1414;141418
2021;09;2021-09;VIANA DO CASTELO;Melgaço;UF CHAVIAES E PACOS;Baixa Tensão;80758.174;16;1603;160320
2021;09;2021-09;VIANA DO CASTELO;Monção;ABEDIM;Baixa Tensão;22303.069;16;1604;160401
2021;10;2021-10;AVEIRO;Mealhada;PAMPILHOSA;Baixa Tensão;543775.333;01;0111;011106
2021;10;2021-10;AVEIRO;Sever do Vouga;UF CEDRIM E PARADELA;Baixa Tensão;259265.357;01;0117;011710
2021;10;2021-10;BRAGA;Guimarães;UF SANDE V N SANDE S CLEMENTE;Muito Alta, Alta e Média Tensões;908222.418;03;0308;030887
2021;10;2021-10;COIMBRA;Arganil;PIODAO;Muito Alta, Alta e Média Tensões;41978.936;06;0601;060111
2021;10;2021-10;PORTO;Amarante;UF AMARANTE MAD CEPELO E GATAO;Muito Alta, Alta e Média Tensões;558062.484;13;1301;130142
2021;10;2021-10;PORTO;Penafiel;PENAFIEL;Muito Alta, Alta e Média Tensões;1405885.362;13;1311;131139
2021;10;2021-10;PORTO;Porto;BONFIM;Baixa Tensão;5657835.71;13;1312;131202
2021;10;2021-10;SANTAREM;Rio Maior;RIO MAIOR;Baixa Tensão;2150832.369;14;1414;141408
2021;10;2021-10;VISEU;Armamar;SAO MARTINHO DAS CHAS;Muito Alta, Alta e Média Tensões;58361.161;18;1801;180115
2021;10;2021-10;VISEU;Tarouca;UF GOUVIAES E UCANHA;Muito Alta, Alta e Média Tensões;98270.869;18;1820;182011
2021;11;2021-11;BRAGA;Terras de Bouro;SOUTO;Baixa Tensão;67259.281;03;0310;031014
2021;11;2021-11;COIMBRA;Oliveira do Hospital;TRAVANCA DE LAGOS;Baixa Tensão;148867.736;06;0611;061119
2021;11;2021-11;GUARDA;Seia;UF CARRAGOZELA VARZEA MERUGE;Baixa Tensão;87423.192;09;0912;091230
2021;11;2021-11;VIANA DO CASTELO;Ponte de Lima;LABRUJO RENDUFE VILAR MONTE;Baixa Tensão;39494.967;16;1607;160759
2021;11;2021-11;VILA REAL;Boticas;BECA;Muito Alta, Alta e Média Tensões;191916.683;17;1702;170203
2021;11;2021-11;VILA REAL;Mondim de Basto;VILAR DE FERREIROS;Baixa Tensão;99969.501;17;1705;170508
2021;12;2021-12;BRAGANCA;Vimioso;VIMIOSO;Baixa Tensão;410213.341;04;0411;041114
